Combinacion;Piso;Ubicacion;P;M2;M3
1.4D;6;up;-12.9972;-1.3363;-3.8632
1.4D;6;down;-11.2773;1.02;5.7202
1.4D;5;up;-28.3205;-1.0998;-4.4104
1.4D;5;down;-26.6006;0.487;2.8894
1.4D;4;up;-43.8247;-0.9038;-4.639
1.4D;4;down;-42.1048;0.4197;2.8438
1.4D;3;up;-59.3308;-0.8116;-4.5648
1.4D;3;down;-57.6109;0.3797;2.7227
1.4D;2;up;-74.7643;-0.7081;-5.7095
1.4D;2;down;-73.0444;0.2586;2.4089
1.4D;1;up;-92.6968;-0.3064;-1.0954
1.4D;1;down;-88.7719;0.182;3.4411
1.2D+1.6L;6;up;-13.1205;-1.1505;-6.0768
1.2D+1.6L;6;down;-11.6463;1.1866;5.5771
1.2D+1.6L;5;up;-32.4742;-1.1684;-5.6858
1.2D+1.6L;5;down;-31;0.2885;4.4711
1.2D+1.6L;4;up;-49.888;-1.1128;-5.9099
1.2D+1.6L;4;down;-48.4138;0.5785;3.5662
1.2D+1.6L;3;up;-67.3361;-1.0273;-6.434
1.2D+1.6L;3;down;-65.8619;0.4698;3.3563
1.2D+1.6L;2;up;-85.7773;-0.8783;-7.5535
1.2D+1.6L;2;down;-84.3031;0.3477;3.3623
1.2D+1.6L;1;up;-106.1356;-0.393;-1.3777
1.2D+1.6L;1;down;-102.7714;0.2338;4.5415
1.308D+0.5L+SX (MAX);6;up;-11.8262;1.3901;-3.613
1.308D+0.5L+SX (MAX);6;down;-10.2193;3.7503;7.5374
1.308D+0.5L+SX (MAX);5;up;-26.2204;2.0721;-3.482
1.308D+0.5L+SX (MAX);5;down;-24.6135;3.044;7.1678
1.308D+0.5L+SX (MAX);4;up;-39.3489;3.4433;-2.1397
1.308D+0.5L+SX (MAX);4;down;-37.7421;3.8586;7.1181
1.308D+0.5L+SX (MAX);3;up;-51.8049;4.7359;-0.9723
1.308D+0.5L+SX (MAX);3;down;-50.1981;4.2053;7.0636
1.308D+0.5L+SX (MAX);2;up;-63.9868;6.133;-3.1948
1.308D+0.5L+SX (MAX);2;down;-62.38;4.0017;7.5331
1.308D+0.5L+SX (MAX);1;up;-78.3468;8.5127;20.6455
1.308D+0.5L+SX (MAX);1;down;-74.6798;3.9287;10.026
1.308D+0.5L+SX (MIN);6;up;-13.6975;-3.8903;-5.334
1.308D+0.5L+SX (MIN);6;down;-12.0906;-1.6491;3.5725
1.308D+0.5L+SX (MIN);5;up;-31.8232;-4.2682;-5.95
1.308D+0.5L+SX (MIN);5;down;-30.2163;-2.2147;-0.5222
1.308D+0.5L+SX (MIN);4;up;-50.2432;-5.3434;-7.7371
1.308D+0.5L+SX (MIN);4;down;-48.6363;-2.9376;-1.0989
1.308D+0.5L+SX (MIN);3;up;-69.3596;-6.4598;-9.1332
1.308D+0.5L+SX (MIN);3;down;-67.7527;-3.4057;-1.3369
1.308D+0.5L+SX (MIN);2;up;-89.274;-7.6258;-9.136
1.308D+0.5L+SX (MIN);2;down;-87.6671;-3.4398;-2.2209
1.308D+0.5L+SX (MIN);1;up;-111.5395;-9.1668;-22.9666
1.308D+0.5L+SX (MIN);1;down;-107.8725;-3.54;-2.6011
0.792D+SX (MAX);6;up;-6.417;1.8843;-1.3249
0.792D+SX (MAX);6;down;-5.444;3.2768;5.2184
0.792D+SX (MAX);5;up;-13.2199;2.548;-1.261
0.792D+SX (MAX);5;down;-12.2469;2.9048;5.4796
0.792D+SX (MAX);4;up;-19.3452;3.8821;0.1744
0.792D+SX (MAX);4;down;-18.3722;3.6356;5.7173
0.792D+SX (MAX);3;up;-24.7869;5.1387;1.4981
0.792D+SX (MAX);3;down;-23.814;4.0203;5.7405
0.792D+SX (MAX);2;up;-29.6516;6.4788;-0.2593
0.792D+SX (MAX);2;down;-28.6787;3.867;6.2397
0.792D+SX (MAX);1;up;-35.8435;8.6664;21.1864
0.792D+SX (MAX);1;down;-33.6232;3.8373;8.2602
0.792D+SX (MIN);6;up;-8.2883;-3.3962;-3.046
0.792D+SX (MIN);6;down;-7.3154;-2.1227;1.2535
0.792D+SX (MIN);5;up;-18.8228;-3.7923;-3.729
0.792D+SX (MIN);5;down;-17.8498;-2.3539;-2.2104
0.792D+SX (MIN);4;up;-30.2394;-4.9046;-5.423
0.792D+SX (MIN);4;down;-29.2664;-3.1607;-2.4997
0.792D+SX (MIN);3;up;-42.3416;-6.057;-6.6628
0.792D+SX (MIN);3;down;-41.3686;-3.5907;-2.66
0.792D+SX (MIN);2;up;-54.9388;-7.28;-6.2005
0.792D+SX (MIN);2;down;-53.9658;-3.5745;-3.5143
0.792D+SX (MIN);1;up;-69.0362;-9.0131;-22.4258
0.792D+SX (MIN);1;down;-66.8159;-3.6313;-4.3669
1.308D+0.5L+SY (MAX);6;up;-11.4526;-0.0678;-3.0888
1.308D+0.5L+SY (MAX);6;down;-9.8458;2.0671;9.0224
1.308D+0.5L+SY (MAX);5;up;-25.2277;0.0559;-2.1912
1.308D+0.5L+SY (MAX);5;down;-23.6208;1.3418;9.7442
1.308D+0.5L+SY (MAX);4;up;-37.422;0.598;-0.037
1.308D+0.5L+SY (MAX);4;down;-35.8152;1.6542;9.9207
1.308D+0.5L+SY (MAX);3;up;-48.7041;1.0717;1.8044
1.308D+0.5L+SY (MAX);3;down;-47.0972;1.7486;9.9926
1.308D+0.5L+SY (MAX);2;up;-59.4192;1.6289;-1.5538
1.308D+0.5L+SY (MAX);2;down;-57.8123;1.6929;11.0448
1.308D+0.5L+SY (MAX);1;up;-71.9179;3.2102;36.1385
1.308D+0.5L+SY (MAX);1;down;-68.2509;1.8198;14.6464
1.308D+0.5L+SY MIN;6;up;-14.071;-2.4323;-5.8582
1.308D+0.5L+SY MIN;6;down;-12.4642;0.0341;2.0875
1.308D+0.5L+SY MIN;5;up;-32.8159;-2.252;-7.2409
1.308D+0.5L+SY MIN;5;down;-31.209;-0.5125;-3.0986
1.308D+0.5L+SY MIN;4;up;-52.1701;-2.4982;-9.8398
1.308D+0.5L+SY MIN;4;down;-50.5632;-0.7331;-3.9015
1.308D+0.5L+SY MIN;3;up;-72.4604;-2.7956;-11.9099
1.308D+0.5L+SY MIN;3;down;-70.8536;-0.949;-4.266
1.308D+0.5L+SY MIN;2;up;-93.8416;-3.1216;-10.777
1.308D+0.5L+SY MIN;2;down;-92.2348;-1.131;-5.7326
1.308D+0.5L+SY MIN;1;up;-117.9684;-3.8642;-38.4596
1.308D+0.5L+SY MIN;1;down;-114.3014;-1.431;-7.2215
0.792D+SY MAX;6;up;-6.0435;0.4263;-0.8007
0.792D+SY MAX;6;down;-5.0705;1.5935;6.7034
0.792D+SY MAX;5;up;-12.2272;0.5318;0.0298
0.792D+SY MAX;5;down;-11.2543;1.2026;8.056
0.792D+SY MAX;4;up;-17.4182;1.0368;2.2771
0.792D+SY MAX;4;down;-16.4453;1.4311;8.5199
0.792D+SY MAX;3;up;-21.6861;1.4745;4.2748
0.792D+SY MAX;3;down;-20.7131;1.5636;8.6696
0.792D+SY MAX;2;up;-25.084;1.9747;1.3817
0.792D+SY MAX;2;down;-24.111;1.5582;9.7515
0.792D+SY MAX;1;up;-29.4146;3.3639;36.6793
0.792D+SY MAX;1;down;-27.1943;1.7284;12.8806
0.792D+SY MIN;6;up;-8.6619;-1.9382;-3.5702
0.792D+SY MIN;6;down;-7.6889;-0.4394;-0.2315
0.792D+SY MIN;5;up;-19.8154;-1.7761;-5.0199
0.792D+SY MIN;5;down;-18.8424;-0.6517;-4.7868
0.792D+SY MIN;4;up;-32.1663;-2.0594;-7.5257
0.792D+SY MIN;4;down;-31.1933;-0.9562;-5.3024
0.792D+SY MIN;3;up;-45.4424;-2.3928;-9.4395
0.792D+SY MIN;3;down;-44.4695;-1.134;-5.589
0.792D+SY MIN;2;up;-59.5064;-2.7759;-7.8415
0.792D+SY MIN;2;down;-58.5334;-1.2657;-7.026
0.792D+SY MIN;1;up;-75.4652;-3.7105;-37.9187
0.792D+SY MIN;1;down;-73.2448;-1.5224;-8.9873
